Rezept;Zutat;Menge;Kategorie;Notiz
Hühner-Brokkoli wie beim Chinesen;Huhn;ca. 500g;Fleisch;günstiger: Hühnerschenkel/Fleisch ausgelöst
Hühner-Brokkoli wie beim Chinesen;Brokkoli;1 Packung;Gemüse;TK geht auch
Hühner-Brokkoli wie beim Chinesen;Reis;1 Packung;Beilage;macht satt und streckt
Hühner-Brokkoli wie beim Chinesen;Karotten;2-3 Stück;Gemüse;mild für Kinder
Hühner-Brokkoli wie beim Chinesen;Zwiebel;1 Stück;Gemüse;optional
Hühner-Brokkoli wie beim Chinesen;Knoblauch;1-2 Zehen;Gemüse;Basis
Hühner-Brokkoli wie beim Chinesen;Sojasauce;falls leer;Sauce;Basis
Hühner-Brokkoli wie beim Chinesen;Honig/Zucker;falls leer;Sauce;süß-mild
Hühner-Brokkoli wie beim Chinesen;Speisestärke;falls leer;Sauce;macht Sauce glänzend
Hühner-Brokkoli wie beim Chinesen;Öl;falls leer;Vorrat;zum Braten
Asia Eierreis mit Gemüse;Reis;gekocht/Rest;Beilage;Restereis perfekt
Asia Eierreis mit Gemüse;Eier;2-4 Stück;Vorrat;je nach Hunger
Asia Eierreis mit Gemüse;TK Gemüse;1 Handvoll;Tiefkühl;Erbsen/Karotten geht super
Asia Eierreis mit Gemüse;Zwiebel;1 Stück;Gemüse;optional
Asia Eierreis mit Gemüse;Sojasauce;falls leer;Sauce;Basis
Asia Eierreis mit Gemüse;Öl;falls leer;Vorrat;zum Braten
Nasi Goreng Style Reste;Reis;gekocht/Rest;Beilage;Restereis
Nasi Goreng Style Reste;Eier;2 Stück;Vorrat;schnell
Nasi Goreng Style Reste;Huhn/Würstel/Reste;was da ist;Optional;kein Muss
Nasi Goreng Style Reste;TK Gemüse;1 Handvoll;Tiefkühl;Low Stress
Nasi Goreng Style Reste;Sojasauce;falls leer;Sauce;Basis
Nasi Goreng Style Reste;Sweet Chili;optional;Sauce;mild dosieren
Mildes Kokos Curry mit Reis;Reis;1 Packung;Beilage;macht satt
Mildes Kokos Curry mit Reis;Kokosmilch;1 Dose;Sauce;mild
Mildes Kokos Curry mit Reis;Curry Pulver/Paste;falls da;Sauce;mild anfangen
Mildes Kokos Curry mit Reis;Huhn/Tofu;optional;Fleisch;oder vegetarisch
Mildes Kokos Curry mit Reis;TK Gemüse;1 Packung;Tiefkühl;schnell
Mildes Kokos Curry mit Reis;Zwiebel;1 Stück;Gemüse;Basis
Kohl-Karotten Wok;Weißkraut/Spitzkohl;1 Stück;Gemüse;günstig und viel
Kohl-Karotten Wok;Karotten;3 Stück;Gemüse;mild
Kohl-Karotten Wok;Zwiebel;1 Stück;Gemüse;Basis
Kohl-Karotten Wok;Nudeln/Reis;was da ist;Beilage;streckt
Kohl-Karotten Wok;Sojasauce;falls leer;Sauce;Basis
Kohl-Karotten Wok;Eier;optional;Vorrat;mehr Protein
Hühner-Nudelpfanne Asia;Nudeln;1 Packung;Beilage;Spaghetti gehen auch
Hühner-Nudelpfanne Asia;Huhn;ca. 400g;Fleisch;nur wenn Angebot
Hühner-Nudelpfanne Asia;TK Gemüse;1 Packung;Tiefkühl;einfach
Hühner-Nudelpfanne Asia;Sojasauce;falls leer;Sauce;Basis
Hühner-Nudelpfanne Asia;Honig/Zucker;falls leer;Sauce;kleiner Ausgleich
Hühner-Nudelpfanne Asia;Knoblauch;1 Zehe;Gemüse;optional
Nudeln mit Tomatensauce;Nudeln;1 Packung;Beilage;schnell & günstig
Nudeln mit Tomatensauce;Tomatensauce;1 Glas/Packung;Sauce;Low Energy
Nudeln mit Tomatensauce;Käse;falls da;Optional;nur wenn vorhanden
Nudeln mit Tomatensauce;Zwiebel;optional;Gemüse;wenn Energie da ist
Fischstäbchen einfach;Fischstäbchen;1 Packung;Tiefkühl;Kinderleicht
Fischstäbchen einfach;Reis/Kartoffeln;falls da;Beilage;keine Extra-Pflicht
Fischstäbchen einfach;Gemüse;optional;Gemüse;TK geht
Low-Energy Würstel-Gemüse-Pfanne;Würstel;1 Packung;Fleisch;schnell
Low-Energy Würstel-Gemüse-Pfanne;Kartoffeln/Nudeln;was da ist;Beilage;Resteverwertung
Low-Energy Würstel-Gemüse-Pfanne;Gemüse;was da ist;Gemüse;optional
Low-Energy Würstel-Gemüse-Pfanne;Ei;optional;Vorrat;macht satt
Low-Energy Würstel-Gemüse-Pfanne;Öl;falls leer;Vorrat;zum Braten
Brokkoli Käse Nudeln;Nudeln;1 Packung;Beilage;schnell
Brokkoli Käse Nudeln;Brokkoli;1 Packung;Gemüse;TK geht
Brokkoli Käse Nudeln;Käse/Frischkäse;falls da;Optional;cremig
Brokkoli Käse Nudeln;Milch/Sahne/Cremefine;optional;Sauce;oder etwas Nudelwasser
Kartoffel Ei Pfanne;Kartoffeln;ca. 800g;Beilage;günstig
Kartoffel Ei Pfanne;Eier;3-4 Stück;Vorrat;macht satt
Kartoffel Ei Pfanne;Zwiebel;1 Stück;Gemüse;optional
Kartoffel Ei Pfanne;Würstel/Speckreste;optional;Optional;wenn da
Suppe aus Resten;Suppennudeln/Reis;optional;Beilage;was da ist
Suppe aus Resten;Gemüse;was da ist;Gemüse;Karotten, Zwiebel, TK
Suppe aus Resten;Brühe;falls leer;Vorrat;Basis
Suppe aus Resten;Würstel/Huhnreste;optional;Optional;nicht nötig
Wraps mit Huhn oder Resten;Wraps;1 Packung;Beilage;schnell
Wraps mit Huhn oder Resten;Huhn/Reste;was da ist;Fleisch;optional
Wraps mit Huhn oder Resten;Salat/Gemüse;was da ist;Gemüse;nicht kompliziert
Wraps mit Huhn oder Resten;Joghurt/Sauce;optional;Sauce;einfach
Toast Abendessen;Toastbrot;1 Packung;Beilage;Low Energy
Toast Abendessen;Käse;1 Packung;Vorrat;Basis
Toast Abendessen;Schinken/Salami;optional;Fleisch;wenn da
Toast Abendessen;Gurke/Tomate;optional;Gemüse;dazu
Reis mit Ei und Sojasauce;Reis;gekocht/Rest;Beilage;minimal
Reis mit Ei und Sojasauce;Eier;2 Stück;Vorrat;minimal
Reis mit Ei und Sojasauce;Sojasauce;falls leer;Sauce;Basis
Reis mit Ei und Sojasauce;Öl;falls leer;Vorrat;zum Braten
Frühlingsrollen einfach;Frühlingsrollen-Blätter/Reispapier;1 Packung;Beilage;Wochenende
Frühlingsrollen einfach;Faschiertes/Huhn;300g;Fleisch;optional
Frühlingsrollen einfach;Karotten;2 Stück;Gemüse;gerieben
Frühlingsrollen einfach;Weißkraut/Chinakohl;etwas;Gemüse;günstig
Frühlingsrollen einfach;Sojasauce;falls leer;Sauce;Basis
Frühlingsrollen einfach;Sweet Chili;optional;Sauce;extra servieren
Scharfe Honig-Chili Hühnerpfanne;Huhn;ca. 500g;Fleisch;in Streifen schneiden
Scharfe Honig-Chili Hühnerpfanne;Reis;1 Packung;Beilage;passt perfekt
Scharfe Honig-Chili Hühnerpfanne;Paprika;2 Stück;Gemüse;bringt Farbe
Scharfe Honig-Chili Hühnerpfanne;Zwiebel;1 Stück;Gemüse;Basis
Scharfe Honig-Chili Hühnerpfanne;Sojasauce;falls leer;Sauce;Basis
Scharfe Honig-Chili Hühnerpfanne;Honig;1-2 EL;Sauce;süß gegen scharf
Scharfe Honig-Chili Hühnerpfanne;Chili/Sriracha;nach Gefühl;Scharf;Kinderportion vorher wegnehmen
Cora Fire Noodles;Nudeln;1 Packung;Beilage;Spaghetti gehen auch
Cora Fire Noodles;Eier;2 Stück;Vorrat;macht satt
Cora Fire Noodles;TK Gemüse;1 Handvoll;Tiefkühl;schnell
Cora Fire Noodles;Sojasauce;falls leer;Sauce;Basis
Cora Fire Noodles;Sweet Chili;2 EL;Scharf;mild starten
Cora Fire Noodles;Chiliöl/Sriracha;optional;Scharf;erst am Teller schärfen
Scharfes Kokos Curry;Kokosmilch;1 Dose;Sauce;mild-cremig
Scharfes Kokos Curry;Reis;1 Packung;Beilage;macht satt
Scharfes Kokos Curry;Huhn/Tofu;optional;Fleisch;beides geht
Scharfes Kokos Curry;TK Gemüse;1 Packung;Tiefkühl;Low Stress
Scharfes Kokos Curry;Rote Currypaste;1-2 TL;Scharf;langsam dosieren
Scharfes Kokos Curry;Limette/Zitrone;optional;Optional;frisch am Ende
Chili Knoblauch Reis mit Ei;Reis;gekocht/Rest;Beilage;Restereis perfekt
Chili Knoblauch Reis mit Ei;Eier;2-3 Stück;Vorrat;schnell
Chili Knoblauch Reis mit Ei;Knoblauch;2 Zehen;Gemüse;mehr Geschmack
Chili Knoblauch Reis mit Ei;Sojasauce;falls leer;Sauce;Basis
Chili Knoblauch Reis mit Ei;Chiliflocken;nach Gefühl;Scharf;am Teller dosieren
Chili Knoblauch Reis mit Ei;Frühlingszwiebel;optional;Gemüse;wenn da
Scharfe Wraps mit Joghurt Cooldown;Wraps;1 Packung;Beilage;schnell
Scharfe Wraps mit Joghurt Cooldown;Huhn/Reste;was da ist;Fleisch;Resteverwertung
Scharfe Wraps mit Joghurt Cooldown;Salat/Gemüse;was da ist;Gemüse;frisch
Scharfe Wraps mit Joghurt Cooldown;Joghurt;1 Becher;Sauce;Cooldown gegen Schärfe
Scharfe Wraps mit Joghurt Cooldown;Sweet Chili/Sriracha;nach Gefühl;Scharf;nicht für Kinder übertreiben
Scharfe Wraps mit Joghurt Cooldown;Käse;optional;Optional;macht rund
Cora Spicy Peanut Noodles;Nudeln;1 Packung;Beilage;schnell
Cora Spicy Peanut Noodles;Erdnussbutter;2 EL;Sauce;cremig
Cora Spicy Peanut Noodles;Sojasauce;2 EL;Sauce;Basis
Cora Spicy Peanut Noodles;Wasser/Nudelwasser;etwas;Sauce;macht cremig
Cora Spicy Peanut Noodles;Sweet Chili;1-2 EL;Scharf;süß-scharf
Cora Spicy Peanut Noodles;Karotten/Gurke;optional;Gemüse;frisch dazu
